[   78]   fixation ->    saccade (ibdt:129)
[ 3849]    pursuit ->   fixation (ibdt:129)
[ 3850]    pursuit ->   fixation (ibdt:129)
[ 3851]    pursuit ->   fixation (ibdt:129)
[ 3852]    pursuit ->   fixation (ibdt:129)
[ 3853]    pursuit ->   fixation (ibdt:129)
[ 3854]    pursuit ->   fixation (ibdt:129)
[ 3855]    pursuit ->   fixation (ibdt:129)
[ 3856]    pursuit ->   fixation (ibdt:129)
[ 3857]    pursuit ->   fixation (ibdt:129)
[ 3858]    pursuit ->   fixation (ibdt:129)
[ 3859]    pursuit ->   fixation (ibdt:129)
[ 3860]    pursuit ->   fixation (ibdt:129)
[ 3861]    pursuit ->   fixation (ibdt:129)
[ 3862]    pursuit ->   fixation (ibdt:129)
[ 3863]    pursuit ->   fixation (ibdt:129)
[ 3864]    pursuit ->   fixation (ibdt:129)
[ 3865]    pursuit ->   fixation (ibdt:129)
[ 3866]    pursuit ->   fixation (ibdt:129)
[ 3867]    saccade ->   fixation (ibdt:129)
[ 3868]    saccade ->   fixation (ibdt:129)
[ 3869]    saccade ->   fixation (ibdt:129)
[ 3870]    saccade ->   fixation (ibdt:129)
[ 3871]    saccade ->   fixation (ibdt:129)
[ 3872]    saccade ->   fixation (ibdt:129)
[ 3873]    saccade ->   fixation (ibdt:129)
[ 3874]    saccade ->   fixation (ibdt:129)
[ 3875]    saccade ->   fixation (ibdt:129)
[ 3876]    saccade ->   fixation (ibdt:129)
[ 3877]    pursuit ->   fixation (ibdt:129)
[ 3878]    pursuit ->   fixation (ibdt:129)
[ 3879]    pursuit ->   fixation (ibdt:129)
[ 3880]    pursuit ->   fixation (ibdt:129)
[ 3881]    pursuit ->   fixation (ibdt:129)
[ 3882]    pursuit ->   fixation (ibdt:129)
[ 3883]    pursuit ->   fixation (ibdt:129)
[ 3884]    pursuit ->   fixation (ibdt:129)
[ 3885]    pursuit ->   fixation (ibdt:129)
[ 3886]    pursuit ->   fixation (ibdt:129)
[ 3887]    pursuit ->   fixation (ibdt:129)
[ 3888]    pursuit ->   fixation (ibdt:129)
[ 3889]    pursuit ->   fixation (ibdt:129)
[ 3890]    pursuit ->   fixation (ibdt:129)
[ 3891]    pursuit ->   fixation (ibdt:129)
[ 3892]    pursuit ->   fixation (ibdt:129)
[ 3893]    pursuit ->   fixation (ibdt:129)
[ 3894]    pursuit ->   fixation (ibdt:129)
[ 3895]    pursuit ->   fixation (ibdt:129)
[ 3896]    pursuit ->   fixation (ibdt:129)
[ 3897]    pursuit ->   fixation (ibdt:129)
[ 3898]    pursuit ->   fixation (ibdt:129)
[ 3899]    pursuit ->   fixation (ibdt:129)
[ 3900]    pursuit ->   fixation (ibdt:129)
[ 3901]    pursuit ->   fixation (ibdt:129)
[ 3902]    pursuit ->   fixation (ibdt:129)
[ 3903]    pursuit ->   fixation (ibdt:129)
[ 3904]    pursuit ->   fixation (ibdt:129)
[ 3905]    pursuit ->   fixation (ibdt:129)
[ 3906]    pursuit ->   fixation (ibdt:129)
[ 3907]    pursuit ->   fixation (ibdt:129)
[ 3908]    pursuit ->   fixation (ibdt:129)
[ 3909]    pursuit ->   fixation (ibdt:129)
[ 3910]    pursuit ->   fixation (ibdt:129)
[ 3911]    pursuit ->   fixation (ibdt:129)
[ 3912]    pursuit ->   fixation (ibdt:129)
[ 3913]    pursuit ->   fixation (ibdt:129)
[ 3914]    pursuit ->   fixation (ibdt:129)
[ 3915]    pursuit ->   fixation (ibdt:129)
[ 3916]    pursuit ->   fixation (ibdt:129)
[ 3917]    pursuit ->   fixation (ibdt:129)
[ 3918]    pursuit ->   fixation (ibdt:129)
[ 3919]    pursuit ->   fixation (ibdt:129)
[ 3920]    pursuit ->   fixation (ibdt:129)
[ 3921]    pursuit ->   fixation (ibdt:129)
[ 3922]    pursuit ->   fixation (ibdt:129)
[ 3923]    pursuit ->   fixation (ibdt:129)
[ 3924]    pursuit ->   fixation (ibdt:129)
[ 3925]    pursuit ->   fixation (ibdt:129)
[ 3926]    pursuit ->   fixation (ibdt:129)
[ 3927]    pursuit ->   fixation (ibdt:129)
[ 3928]    pursuit ->   fixation (ibdt:129)
[ 3929]    pursuit ->   fixation (ibdt:129)
[ 3930]    pursuit ->   fixation (ibdt:129)
[ 3931]    pursuit ->   fixation (ibdt:129)
[ 3932]    pursuit ->   fixation (ibdt:129)
[ 3933]    pursuit ->   fixation (ibdt:129)
[ 3934]    pursuit ->   fixation (ibdt:129)
[ 3935]    pursuit ->   fixation (ibdt:129)
[ 3936]    pursuit ->   fixation (ibdt:129)
[ 3937]    pursuit ->   fixation (ibdt:129)
[ 3938]    pursuit ->   fixation (ibdt:129)
[ 3939]    pursuit ->   fixation (ibdt:129)
[ 3940]    pursuit ->   fixation (ibdt:129)
[ 3941]    pursuit ->   fixation (ibdt:129)
[ 3942]    pursuit ->   fixation (ibdt:129)
[ 3943]    pursuit ->   fixation (ibdt:129)
[ 3944]    pursuit ->   fixation (ibdt:129)
[ 3945]    pursuit ->   fixation (ibdt:129)
[ 3946]    pursuit ->   fixation (ibdt:129)
[ 3947]    pursuit ->   fixation (ibdt:129)
[ 3948]    pursuit ->   fixation (ibdt:129)
[ 3949]    pursuit ->   fixation (ibdt:129)
[ 3950]    pursuit ->   fixation (ibdt:129)
[ 3951]    pursuit ->   fixation (ibdt:129)
[ 3952]    pursuit ->   fixation (ibdt:129)
[ 3953]    pursuit ->   fixation (ibdt:129)
[ 3954]    pursuit ->   fixation (ibdt:129)
[ 3955]    pursuit ->   fixation (ibdt:129)
[ 3956]    pursuit ->   fixation (ibdt:129)
[ 3957]    pursuit ->   fixation (ibdt:129)
[ 3958]    pursuit ->   fixation (ibdt:129)
[ 3959]    pursuit ->   fixation (ibdt:129)
[ 3960]    pursuit ->   fixation (ibdt:129)
[ 3961]    pursuit ->   fixation (ibdt:129)
[ 3962]    pursuit ->   fixation (ibdt:129)
[ 3963]    pursuit ->   fixation (ibdt:129)
[ 3964]    pursuit ->   fixation (ibdt:129)
[ 3965]    pursuit ->   fixation (ibdt:129)
[ 3966]    pursuit ->   fixation (ibdt:129)
[ 3967]    pursuit ->   fixation (ibdt:129)
[ 3968]    pursuit ->   fixation (ibdt:129)
[ 3969]    pursuit ->   fixation (ibdt:129)
[ 3970]    pursuit ->   fixation (ibdt:129)
[ 3971]    pursuit ->   fixation (ibdt:129)
[ 3972]    pursuit ->   fixation (ibdt:129)
[ 3973]    pursuit ->   fixation (ibdt:129)
[ 3974]    pursuit ->   fixation (ibdt:129)
[ 3975]    pursuit ->   fixation (ibdt:129)
[ 3976]    pursuit ->   fixation (ibdt:129)
[ 3977]    pursuit ->   fixation (ibdt:129)
[ 3978]    pursuit ->   fixation (ibdt:129)
[ 3979]    pursuit ->   fixation (ibdt:129)
[ 3980]    pursuit ->   fixation (ibdt:129)
[ 3981]    pursuit ->   fixation (ibdt:129)
[ 3982]    pursuit ->   fixation (ibdt:129)
[ 3983]    pursuit ->   fixation (ibdt:129)
[ 3984]    pursuit ->   fixation (ibdt:129)
[ 3985]    pursuit ->   fixation (ibdt:129)
[ 3986]    pursuit ->   fixation (ibdt:129)
[ 3987]    pursuit ->   fixation (ibdt:129)
[ 3988]    pursuit ->   fixation (ibdt:129)
[ 3989]    pursuit ->   fixation (ibdt:129)
[ 3990]    pursuit ->   fixation (ibdt:129)
[ 3991]    pursuit ->   fixation (ibdt:129)
[ 3992]    pursuit ->   fixation (ibdt:129)
[ 3993]    pursuit ->   fixation (ibdt:129)
[ 3994]    pursuit ->   fixation (ibdt:129)
[ 3995]    pursuit ->   fixation (ibdt:129)
[ 3996]    pursuit ->   fixation (ibdt:129)
[ 3997]    pursuit ->   fixation (ibdt:129)
[ 3998]    pursuit ->   fixation (ibdt:129)
[ 3999]    pursuit ->   fixation (ibdt:129)
[ 4000]    pursuit ->   fixation (ibdt:129)
[ 4001]    pursuit ->   fixation (ibdt:129)
[ 4002]    pursuit ->   fixation (ibdt:129)
[ 4003]    pursuit ->   fixation (ibdt:129)
[ 4004]    pursuit ->   fixation (ibdt:129)
[ 4005]    pursuit ->   fixation (ibdt:129)
[ 4006]    pursuit ->   fixation (ibdt:129)
[ 4007]    pursuit ->   fixation (ibdt:129)
[ 4008]    pursuit ->   fixation (ibdt:129)
[ 4009]    pursuit ->   fixation (ibdt:129)
[ 4010]    pursuit ->   fixation (ibdt:129)
[ 4011]    pursuit ->   fixation (ibdt:129)
[ 4012]    pursuit ->   fixation (ibdt:129)
[ 4013]    pursuit ->   fixation (ibdt:129)
[ 4014]    pursuit ->   fixation (ibdt:129)
[ 4015]    pursuit ->   fixation (ibdt:129)
[ 4016]    pursuit ->   fixation (ibdt:129)
[ 4017]    pursuit ->   fixation (ibdt:129)
[ 4018]    pursuit ->   fixation (ibdt:129)
[ 4019]    pursuit ->   fixation (ibdt:129)
[ 4020]    pursuit ->   fixation (ibdt:129)
[ 4021]    pursuit ->   fixation (ibdt:129)
[ 4022]    pursuit ->   fixation (ibdt:129)
[ 4023]    pursuit ->   fixation (ibdt:129)
[ 4024]    pursuit ->   fixation (ibdt:129)
[ 4025]    pursuit ->   fixation (ibdt:129)
[ 4026]    pursuit ->   fixation (ibdt:129)
[ 4027]    pursuit ->   fixation (ibdt:129)
[ 4028]    pursuit ->   fixation (ibdt:129)
[ 4029]    pursuit ->   fixation (ibdt:129)
[ 4030]    pursuit ->   fixation (ibdt:129)
[ 4031]    pursuit ->   fixation (ibdt:129)
[ 4032]    pursuit ->   fixation (ibdt:129)
[ 4033]    pursuit ->   fixation (ibdt:129)
[ 4034]    pursuit ->   fixation (ibdt:129)
[ 4035]    pursuit ->   fixation (ibdt:129)
[ 4036]    pursuit ->   fixation (ibdt:129)
[ 4037]    pursuit ->   fixation (ibdt:129)
[ 4038]    pursuit ->   fixation (ibdt:129)
[ 4039]    pursuit ->   fixation (ibdt:129)
[ 4040]    pursuit ->   fixation (ibdt:129)
[ 4041]    pursuit ->   fixation (ibdt:129)
[ 4042]    pursuit ->   fixation (ibdt:129)
[ 4043]    pursuit ->   fixation (ibdt:129)
[ 4044]    pursuit ->   fixation (ibdt:129)
[ 4045]    pursuit ->   fixation (ibdt:129)
[ 4046]    pursuit ->   fixation (ibdt:129)
[ 4047]    pursuit ->   fixation (ibdt:129)
[ 4048]    pursuit ->   fixation (ibdt:129)
[ 4049]    pursuit ->   fixation (ibdt:129)
[ 4050]    pursuit ->   fixation (ibdt:129)
[ 4051]    pursuit ->   fixation (ibdt:129)
[ 4052]    pursuit ->   fixation (ibdt:129)
[ 4053]    pursuit ->   fixation (ibdt:129)
[ 4054]    pursuit ->   fixation (ibdt:129)
[ 4055]    pursuit ->   fixation (ibdt:129)
[ 4056]    pursuit ->   fixation (ibdt:129)
[ 4057]    pursuit ->   fixation (ibdt:129)
[ 4058]    pursuit ->   fixation (ibdt:129)
[ 4059]    pursuit ->   fixation (ibdt:129)
[ 4060]    pursuit ->   fixation (ibdt:129)
[ 4061]    pursuit ->   fixation (ibdt:129)
[ 4062]    pursuit ->   fixation (ibdt:129)
[ 4063]    pursuit ->   fixation (ibdt:129)
[ 4064]    pursuit ->   fixation (ibdt:129)
[ 4065]    pursuit ->   fixation (ibdt:129)
[ 4066]    pursuit ->   fixation (ibdt:129)
[ 4067]    pursuit ->   fixation (ibdt:129)
[ 4068]    pursuit ->   fixation (ibdt:129)
[ 4069]    pursuit ->   fixation (ibdt:129)
[ 4070]    pursuit ->   fixation (ibdt:129)
[ 4071]    pursuit ->   fixation (ibdt:129)
[ 4072]    pursuit ->   fixation (ibdt:129)
[ 4073]    pursuit ->   fixation (ibdt:129)
[ 4074]    pursuit ->   fixation (ibdt:129)
[ 4075]    pursuit ->   fixation (ibdt:129)
[ 4076]    pursuit ->   fixation (ibdt:129)
[ 4077]    pursuit ->   fixation (ibdt:129)
[ 4078]    pursuit ->   fixation (ibdt:129)
[ 4079]    pursuit ->   fixation (ibdt:129)
[ 4080]    pursuit ->   fixation (ibdt:129)
[ 4081]    pursuit ->   fixation (ibdt:129)
[ 4082]    pursuit ->   fixation (ibdt:129)
[ 4083]    pursuit ->   fixation (ibdt:129)
[ 4084]    pursuit ->   fixation (ibdt:129)
[ 4085]    pursuit ->   fixation (ibdt:129)
[ 4086]    pursuit ->   fixation (ibdt:129)
[ 4087]    pursuit ->   fixation (ibdt:129)
[ 4088]    pursuit ->   fixation (ibdt:129)
[ 4089]    pursuit ->   fixation (ibdt:129)
[ 4090]    pursuit ->   fixation (ibdt:129)
[ 4091]    pursuit ->   fixation (ibdt:129)
[ 4092]    pursuit ->   fixation (ibdt:129)
[ 4093]    pursuit ->   fixation (ibdt:129)
[ 4094]    pursuit ->   fixation (ibdt:129)
[ 4095]    pursuit ->   fixation (ibdt:129)
[ 4096]    pursuit ->   fixation (ibdt:129)
[ 4097]    pursuit ->   fixation (ibdt:129)
[ 4098]    pursuit ->   fixation (ibdt:129)
[ 4099]    pursuit ->   fixation (ibdt:129)
[ 4100]    saccade ->   fixation (ibdt:129)
[ 4101]    saccade ->   fixation (ibdt:129)
[ 4102]    saccade ->   fixation (ibdt:129)
[ 4103]    saccade ->   fixation (ibdt:129)
[ 4104]    saccade ->   fixation (ibdt:129)
[ 4105]    saccade ->   fixation (ibdt:129)
[ 4106]    saccade ->   fixation (ibdt:129)
[ 4107]    saccade ->   fixation (ibdt:129)
[ 4108]    saccade ->   fixation (ibdt:129)
[ 4109]    saccade ->   fixation (ibdt:129)
[ 4110]    saccade ->   fixation (ibdt:129)
[ 4111]    saccade ->   fixation (ibdt:129)
[ 4112]    pursuit ->   fixation (ibdt:129)
[ 4113]    pursuit ->   fixation (ibdt:129)
[ 4114]    pursuit ->   fixation (ibdt:129)
[ 4115]    pursuit ->   fixation (ibdt:129)
[ 4116]    pursuit ->   fixation (ibdt:129)
[ 4117]    pursuit ->   fixation (ibdt:129)
[ 4118]    pursuit ->   fixation (ibdt:129)
[ 4119]    pursuit ->   fixation (ibdt:129)
[ 4120]    pursuit ->   fixation (ibdt:129)
[ 4121]    pursuit ->   fixation (ibdt:129)
[ 4122]    pursuit ->   fixation (ibdt:129)
[ 4123]    pursuit ->   fixation (ibdt:129)
[ 4124]    pursuit ->   fixation (ibdt:129)
[ 4125]    pursuit ->   fixation (ibdt:129)
[ 4126]    pursuit ->   fixation (ibdt:129)
[ 4127]    pursuit ->   fixation (ibdt:129)
[ 4128]    pursuit ->   fixation (ibdt:129)
[ 4129]    pursuit ->   fixation (ibdt:129)
[ 4130]    pursuit ->   fixation (ibdt:129)
[ 4131]    pursuit ->   fixation (ibdt:129)
[ 4132]    pursuit ->   fixation (ibdt:129)
[ 4133]    pursuit ->   fixation (ibdt:129)
[ 4134]    pursuit ->   fixation (ibdt:129)
[ 4135]    pursuit ->   fixation (ibdt:129)
[ 4136]    pursuit ->   fixation (ibdt:129)
[ 4137]    pursuit ->   fixation (ibdt:129)
[ 4138]    pursuit ->   fixation (ibdt:129)
[ 4139]    pursuit ->   fixation (ibdt:129)
[ 4140]    pursuit ->   fixation (ibdt:129)
[ 4141]    pursuit ->   fixation (ibdt:129)
[ 4142]    pursuit ->   fixation (ibdt:129)
[ 4143]    pursuit ->   fixation (ibdt:129)
[ 4144]    pursuit ->   fixation (ibdt:129)
[ 4145]    pursuit ->   fixation (ibdt:129)
[ 4146]    pursuit ->   fixation (ibdt:129)
[ 4147]    pursuit ->   fixation (ibdt:129)
[ 4148]    pursuit ->   fixation (ibdt:129)
[ 4149]    pursuit ->   fixation (ibdt:129)
[ 4150]    pursuit ->   fixation (ibdt:129)
[ 4151]    pursuit ->   fixation (ibdt:129)
[ 4152]    pursuit ->   fixation (ibdt:129)
[ 4153]    pursuit ->   fixation (ibdt:129)
[ 4154]    pursuit ->   fixation (ibdt:129)
[ 4155]    pursuit ->   fixation (ibdt:129)
[ 4156]    pursuit ->   fixation (ibdt:129)
[ 4157]    pursuit ->   fixation (ibdt:129)
[ 4158]    pursuit ->   fixation (ibdt:129)
[ 4159]    pursuit ->   fixation (ibdt:129)
[ 4160]    pursuit ->   fixation (ibdt:129)
[ 4161]    pursuit ->   fixation (ibdt:129)
[ 4162]    pursuit ->   fixation (ibdt:129)
[ 4163]    pursuit ->   fixation (ibdt:129)
[ 4164]    pursuit ->   fixation (ibdt:129)
[ 4165]    pursuit ->   fixation (ibdt:129)
[ 4166]    pursuit ->   fixation (ibdt:129)
[ 4167]    pursuit ->   fixation (ibdt:129)
[ 4168]    pursuit ->   fixation (ibdt:129)
[ 4169]    pursuit ->   fixation (ibdt:129)
[ 4170]    pursuit ->   fixation (ibdt:129)
[ 4171]    pursuit ->   fixation (ibdt:129)
[ 4172]    pursuit ->   fixation (ibdt:129)
[ 4173]    pursuit ->   fixation (ibdt:129)
[ 4174]    pursuit ->   fixation (ibdt:129)
[ 4175]    pursuit ->   fixation (ibdt:129)
[ 4176]    pursuit ->   fixation (ibdt:129)
[ 4177]    pursuit ->   fixation (ibdt:129)
[ 4178]    pursuit ->   fixation (ibdt:129)
[ 4179]    pursuit ->   fixation (ibdt:129)
[ 4180]    pursuit ->   fixation (ibdt:129)
[ 4181]    pursuit ->   fixation (ibdt:129)
[ 4182]    pursuit ->   fixation (ibdt:129)
[ 4183]    pursuit ->   fixation (ibdt:129)
[ 4184]    pursuit ->   fixation (ibdt:129)
[ 4185]    pursuit ->   fixation (ibdt:129)
[ 4186]    pursuit ->   fixation (ibdt:129)
[ 4187]    pursuit ->   fixation (ibdt:129)
[ 4188]    pursuit ->   fixation (ibdt:129)
[ 4189]    pursuit ->   fixation (ibdt:129)
[ 4190]    pursuit ->   fixation (ibdt:129)
[ 4191]    pursuit ->   fixation (ibdt:129)
[ 4192]    pursuit ->   fixation (ibdt:129)
[ 4193]    pursuit ->   fixation (ibdt:129)
[ 4194]    pursuit ->   fixation (ibdt:129)
[ 4195]    pursuit ->   fixation (ibdt:129)
[ 4196]    pursuit ->   fixation (ibdt:129)
[ 4197]    saccade ->   fixation (ibdt:129)
[ 4198]    saccade ->   fixation (ibdt:129)
[ 4199]    saccade ->   fixation (ibdt:129)
[ 4201]    saccade ->   fixation (ibdt:129)
[ 4202]    saccade ->   fixation (ibdt:129)
[ 4203]    saccade ->   fixation (ibdt:129)
[ 4204]    saccade ->   fixation (ibdt:129)
[ 4205]    saccade ->   fixation (ibdt:129)
[ 4206]    pursuit ->   fixation (ibdt:129)
[ 4207]    pursuit ->   fixation (ibdt:129)
[ 4208]    pursuit ->   fixation (ibdt:129)
[ 4209]    pursuit ->   fixation (ibdt:129)
[ 4210]    pursuit ->   fixation (ibdt:129)
[ 4211]    pursuit ->   fixation (ibdt:129)
[ 4212]    pursuit ->   fixation (ibdt:129)
[ 4213]    pursuit ->   fixation (ibdt:129)
[ 4214]    pursuit ->   fixation (ibdt:129)
[ 4215]    pursuit ->   fixation (ibdt:129)
[ 4216]    pursuit ->   fixation (ibdt:129)
[ 4217]    pursuit ->   fixation (ibdt:129)
[ 4218]    pursuit ->   fixation (ibdt:129)
[ 4219]    pursuit ->   fixation (ibdt:129)
[ 4220]    pursuit ->   fixation (ibdt:129)
[ 4221]    pursuit ->   fixation (ibdt:129)
[ 4222]    pursuit ->   fixation (ibdt:129)
[ 4223]    pursuit ->   fixation (ibdt:129)
[ 4224]    pursuit ->   fixation (ibdt:129)
[ 4225]    pursuit ->   fixation (ibdt:129)
[ 4226]    pursuit ->   fixation (ibdt:129)
[ 4227]    pursuit ->   fixation (ibdt:129)
[ 4228]    pursuit ->   fixation (ibdt:129)
[ 4229]    pursuit ->   fixation (ibdt:129)
[ 4230]    pursuit ->   fixation (ibdt:129)
[ 4231]    pursuit ->   fixation (ibdt:129)
[ 4232]    pursuit ->   fixation (ibdt:129)
[ 4233]    pursuit ->   fixation (ibdt:129)
[ 4234]    pursuit ->   fixation (ibdt:129)
[ 4235]    pursuit ->   fixation (ibdt:129)
[ 4236]    pursuit ->   fixation (ibdt:129)
[ 4237]    pursuit ->   fixation (ibdt:129)
[ 4238]    pursuit ->   fixation (ibdt:129)
[ 4239]    pursuit ->   fixation (ibdt:129)
[ 4240]    pursuit ->   fixation (ibdt:129)
[ 4241]    pursuit ->   fixation (ibdt:129)
[ 4242]    pursuit ->   fixation (ibdt:129)
[ 4243]    pursuit ->   fixation (ibdt:129)
[ 4244]    pursuit ->   fixation (ibdt:129)
[ 4245]    pursuit ->   fixation (ibdt:129)
[ 4246]    pursuit ->   fixation (ibdt:129)
[ 4247]    pursuit ->   fixation (ibdt:129)
[ 4248]    pursuit ->   fixation (ibdt:129)
[ 4249]    pursuit ->   fixation (ibdt:129)
[ 4250]    pursuit ->   fixation (ibdt:129)
[ 4251]    pursuit ->   fixation (ibdt:129)
[ 4252]    pursuit ->   fixation (ibdt:129)
[ 4253]    pursuit ->   fixation (ibdt:129)
[ 4254]    pursuit ->   fixation (ibdt:129)
[ 4255]    pursuit ->   fixation (ibdt:129)
[ 4256]    pursuit ->   fixation (ibdt:129)
[ 4257]    pursuit ->   fixation (ibdt:129)
[ 4258]    pursuit ->   fixation (ibdt:129)
[ 4259]    pursuit ->   fixation (ibdt:129)
[ 4260]    pursuit ->   fixation (ibdt:129)
[ 4261]    pursuit ->   fixation (ibdt:129)
[ 4262]    pursuit ->   fixation (ibdt:129)
[ 4263]    pursuit ->   fixation (ibdt:129)
[ 4264]    pursuit ->   fixation (ibdt:129)
[ 4265]    pursuit ->   fixation (ibdt:129)
[ 4266]    pursuit ->   fixation (ibdt:129)
[ 4267]    pursuit ->   fixation (ibdt:129)
[ 4268]    pursuit ->   fixation (ibdt:129)
[ 4269]    pursuit ->   fixation (ibdt:129)
[ 4270]    pursuit ->   fixation (ibdt:129)
[ 4271]    pursuit ->   fixation (ibdt:129)
[ 4272]    pursuit ->   fixation (ibdt:129)
[ 4273]    pursuit ->   fixation (ibdt:129)
[ 4274]    pursuit ->   fixation (ibdt:129)
[ 4275]    pursuit ->   fixation (ibdt:129)
[ 4276]    pursuit ->   fixation (ibdt:129)
[ 4277]    pursuit ->   fixation (ibdt:129)
[ 4278]    pursuit ->   fixation (ibdt:129)
[ 4279]    pursuit ->   fixation (ibdt:129)
[ 4280]    pursuit ->   fixation (ibdt:129)
[ 4281]    pursuit ->   fixation (ibdt:129)
[ 4282]    pursuit ->   fixation (ibdt:129)
[ 4283]    pursuit ->   fixation (ibdt:129)
[ 4284]    pursuit ->   fixation (ibdt:129)
[ 4285]    pursuit ->   fixation (ibdt:129)
[ 4286]    pursuit ->   fixation (ibdt:129)
[ 4287]    pursuit ->   fixation (ibdt:129)
[ 4288]    pursuit ->   fixation (ibdt:129)
[ 4289]    pursuit ->   fixation (ibdt:129)
[ 4290]    pursuit ->   fixation (ibdt:129)
[ 4291]    pursuit ->   fixation (ibdt:129)
[ 4292]    pursuit ->   fixation (ibdt:129)
[ 4293]    pursuit ->   fixation (ibdt:129)
[ 4294]    pursuit ->   fixation (ibdt:129)
[ 4295]    pursuit ->   fixation (ibdt:129)
[ 4296]    pursuit ->   fixation (ibdt:129)
[ 4297]    pursuit ->   fixation (ibdt:129)
[ 4298]    pursuit ->   fixation (ibdt:129)
[ 4299]    pursuit ->   fixation (ibdt:129)
[ 4300]    pursuit ->   fixation (ibdt:129)
[ 4301]    pursuit ->   fixation (ibdt:129)
[ 4302]    pursuit ->   fixation (ibdt:129)
[ 4303]    pursuit ->   fixation (ibdt:129)
[ 4304]    pursuit ->   fixation (ibdt:129)
[ 4305]    pursuit ->   fixation (ibdt:129)
[ 4306]    pursuit ->   fixation (ibdt:129)
[ 4307]    pursuit ->   fixation (ibdt:129)
[ 4308]    pursuit ->   fixation (ibdt:129)
[ 4309]    pursuit ->   fixation (ibdt:129)
[ 4310]    pursuit ->   fixation (ibdt:129)
[ 4311]    pursuit ->   fixation (ibdt:129)
[ 4312]    pursuit ->   fixation (ibdt:129)
[ 4313]    pursuit ->   fixation (ibdt:129)
[ 4314]    pursuit ->   fixation (ibdt:129)
[ 4315]    pursuit ->   fixation (ibdt:129)
[ 4316]    pursuit ->   fixation (ibdt:129)
[ 4317]    pursuit ->   fixation (ibdt:129)
[ 4318]    pursuit ->   fixation (ibdt:129)
[ 4319]    pursuit ->   fixation (ibdt:129)
[ 4320]    pursuit ->   fixation (ibdt:129)
[ 4321]    pursuit ->   fixation (ibdt:129)
[ 4322]    pursuit ->   fixation (ibdt:129)
[ 4323]    pursuit ->   fixation (ibdt:129)
[ 4324]    pursuit ->   fixation (ibdt:129)
[ 4325]    pursuit ->   fixation (ibdt:129)
[ 4326]    pursuit ->   fixation (ibdt:129)
[ 4327]    pursuit ->   fixation (ibdt:129)
[ 4328]    pursuit ->   fixation (ibdt:129)
[ 4329]    pursuit ->   fixation (ibdt:129)
[ 4330]    pursuit ->   fixation (ibdt:129)
[ 4331]    pursuit ->   fixation (ibdt:129)
[ 4332]    pursuit ->   fixation (ibdt:129)
[ 4333]    pursuit ->   fixation (ibdt:129)
[ 4334]    pursuit ->   fixation (ibdt:129)
[ 4335]    pursuit ->   fixation (ibdt:129)
[ 4336]    pursuit ->   fixation (ibdt:129)
[ 4337]    pursuit ->   fixation (ibdt:129)
[ 4338]    pursuit ->   fixation (ibdt:129)
[ 4339]    pursuit ->   fixation (ibdt:129)
[ 4340]    pursuit ->   fixation (ibdt:129)
[ 4341]    pursuit ->   fixation (ibdt:129)
[ 4342]    pursuit ->   fixation (ibdt:129)
[ 4343]    pursuit ->   fixation (ibdt:129)
[ 4344]    pursuit ->   fixation (ibdt:129)
[ 4345]    pursuit ->   fixation (ibdt:129)
[ 4346]    pursuit ->   fixation (ibdt:129)
[ 4347]    pursuit ->   fixation (ibdt:129)
[ 4348]    pursuit ->   fixation (ibdt:129)
[ 4349]    pursuit ->   fixation (ibdt:129)
[ 4350]    pursuit ->   fixation (ibdt:129)
[ 4351]    pursuit ->   fixation (ibdt:129)
[ 4352]    pursuit ->   fixation (ibdt:129)
[ 4353]    pursuit ->   fixation (ibdt:129)
[ 4354]    pursuit ->   fixation (ibdt:129)
[ 4355]    saccade ->   fixation (ibdt:129)
[ 4362]    saccade ->   fixation (ibdt:129)
[ 4363]    saccade ->   fixation (ibdt:129)
[ 4364]    saccade ->   fixation (ibdt:129)
[ 4446]    saccade ->   fixation (ibdt:129)
[ 4447]    saccade ->   fixation (ibdt:129)
[ 4457]    saccade ->   fixation (ibdt:129)
[ 4458]    saccade ->   fixation (ibdt:129)
[ 4535]    saccade ->   fixation (ibdt:129)
[ 4536]    saccade ->   fixation (ibdt:129)
[ 4537]    saccade ->   fixation (ibdt:129)
[ 4538]    saccade ->   fixation (ibdt:129)
[ 4539]    saccade ->   fixation (ibdt:129)
[ 4540]    saccade ->   fixation (ibdt:129)
[ 4541]    saccade ->   fixation (ibdt:129)
[ 4542]    saccade ->   fixation (ibdt:129)
[ 4543]    saccade ->   fixation (ibdt:129)
[ 4544]    saccade ->   fixation (ibdt:129)
[ 4545]    saccade ->   fixation (ibdt:129)
[ 4590]    saccade ->   fixation (ibdt:129)
[ 4591]    saccade ->   fixation (ibdt:129)
[ 4592]    saccade ->   fixation (ibdt:129)
[ 4594]    saccade ->   fixation (ibdt:129)
[ 4595]    saccade ->   fixation (ibdt:129)
[ 4596]    saccade ->   fixation (ibdt:129)
[ 4597]    saccade ->   fixation (ibdt:129)
[ 4671]    saccade ->   fixation (ibdt:129)
[ 4672]    saccade ->   fixation (ibdt:129)
[ 4673]    saccade ->   fixation (ibdt:129)
[ 4674]    saccade ->   fixation (ibdt:129)
[ 4675]    saccade ->   fixation (ibdt:129)
[ 4676]    saccade ->   fixation (ibdt:129)
[ 4677]    saccade ->   fixation (ibdt:129)
[ 4678]    saccade ->   fixation (ibdt:129)
[ 4679]    saccade ->   fixation (ibdt:129)
